"REF_DATE","GEO","PERCENTAGE","CURRENT_VALUE","PREVIOUS_VALUE"
"2000","Yukon, Northwest Territories and Nunavut","0.00","0",""
"2000","Saskatchewan","0.12","1250",""
"2000","Quebec","0.18","12870",""
"2000","Prince Edward Island","0.08","110",""
"2000","Ontario","0.15","17100",""
"2000","Nova Scotia","0.17","1600",""
"2000","Newfoundland and Labrador","0.14","750",""
"2000","New-Brunswick","0.11","840",""
"2000","Manitoba","0.15","1760",""
"2000","British-Columbia","0.12","4760",""
"2000","Alberta","0.16","4960",""
"2001","Yukon, Northwest Territories and Nunavut","0.00","0","0"
"2001","Saskatchewan","0.14","1350","1250"
"2001","Quebec","0.17","12870","12870"
"2001","Prince Edward Island","0.07","100","110"
"2001","Ontario","0.15","17720","17100"
"2001","Nova Scotia","0.17","1600", "1600"
"2001","Newfoundland and Labrador","0.17","860","750"
"2001","New-Brunswick","0.11","860","840"
"2001","Manitoba","0.16","1790","1760"
"2001","British-Columbia","0.12","4880","4760"
"2001","Alberta","0.17","5160","4960"
"2002","Yukon, Northwest Territories and Nunavut","0.00","0","0"
"2002","Saskatchewan","0.14","1400","1350"
"2002","Quebec","0.18","13220","12870"
"2002","Prince Edward Island","0.09","120","100"
"2002","Ontario","0.15","17960","17720"
"2002","Nova Scotia","0.17","1610","1600"
"2002","Newfoundland and Labrador","0.16","840","860"
"2002","New-Brunswick","0.12","880","860"
"2002","Manitoba","0.15","1730","1790"
"2002","British-Columbia","0.13","5170","4880"
"2002","Alberta","0.17","5250","5160"
"2003","Yukon, Northwest Territories and Nunavut","0.00","0","0"
"2003","Saskatchewan","0.15","1540","1350"
"2003","Quebec","0.20","14680","13220"
"2003","Prince Edward Island","0.11","150","120"
"2003","Ontario","0.16","19580","17960"
"2003","Nova Scotia","0.19","1770","1610"
"2003","Newfoundland and Labrador","0.17","860","840"
"2003","New-Brunswick","0.13","1000","880"
"2003","Manitoba","0.15","1770","1730"
"2003","British-Columbia","0.15","6090","5170"
"2003","Alberta","0.18","5720","5250"
"2004","Yukon, Northwest Territories and Nunavut","0.00","0","0"
"2004","Saskatchewan","0.16","1580","1540"
"2004","Quebec","0.21","15540","14680"
"2004","Prince Edward Island","0.09","130","150"
"2004","Ontario","0.17","20560","19580"
"2004","Nova Scotia","0.20","1860","1770"
"2004","Newfoundland and Labrador","0.18","930","860"
"2004","New-Brunswick","0.14","1040","1000"
"2004","Manitoba","0.15","1800","1770"
"2004","British-Columbia","0.16","6660","6090"
"2004","Alberta","0.18","6010","5720"
"2005","Yukon, Northwest Territories and Nunavut","0.00","0","0"
"2005","Saskatchewan","0.15","1500","1580"
"2005","Quebec","0.21","16060","15540"
"2005","Prince Edward Island","0.11","150","130"
"2005","Ontario","0.17","21640","20560"
"2005","Nova Scotia","0.20","1860","1860"
"2005","Newfoundland and Labrador","0.19","960","930"
"2005","New-Brunswick","0.11","1070","1040"
"2005","Manitoba","0.15","1810","1800"
"2005","British-Columbia","0.17","7100","6660"
"2005","Alberta","0.20","6560","6010"
"2006","Yukon, Northwest Territories and Nunavut","0.00","0","0"
"2006","Saskatchewan","0.19","1840","1500"
"2006","Quebec","0.22","16610","16060"
"2006","Prince Edward Island","0.12","170","150"
"2006","Ontario","0.18","22650","21640"
"2006","Nova Scotia","0.20","1900","1860"
"2006","Newfoundland and Labrador","0.20","1010","960"
"2006","New-Brunswick","0.14","1080","1070"
"2006","Manitoba","0.16","1860","1810"
"2006","British-Columbia","0.14","5870","7100"
"2006","Alberta","0.19","6490","6560"
"2007","Yukon, Northwest Territories and Nunavut","0.00","0","0"
"2007","Saskatchewan","0.15","1490","1840"
"2007","Quebec","0.22","17250","16610"
"2007","Prince Edward Island","0.10","140","170"
"2007","Ontario","0.18","23600","22650"
"2007","Nova Scotia","0.20","1840","1900"
"2007","Newfoundland and Labrador","0.20","1020","1010"
"2007","New-Brunswick","0.15","1110","1080"
"2007","Manitoba","0.16",1860"","1860"
"2007","British-Columbia","0.17","7230","5870"
"2007","Alberta","0.19","6800","6490"
"2008","Yukon, Northwest Territories and Nunavut","0.00","0","0"
"2008","Saskatchewan","0.14","1650","1490"
"2008","Quebec","0.21","16370","17250"
"2008","Prince Edward Island","0.10","140","140"
"2008","Ontario","0.20","25680","23600"
"2008","Nova Scotia","0.20","1840","1840"
"2008","Newfoundland and Labrador","0.20","1040","1020"
"2008","New-Brunswick","0.14","1020","1110"
"2008","Manitoba","0.16","1860","1860"
"2008","British-Columbia","0.18","8020","7230"
"2008","Alberta","0.19","7030","6800"
"2009","Yukon, Northwest Territories and Nunavut","0.00","0","0"
"2009","Saskatchewan","0.15","1560","1650"
"2009","Quebec","0.21","16760","16370"
"2009","Prince Edward Island","0.10","140","140"
"2009","Ontario","0.18","23650","25680"
"2009","Nova Scotia","0.21","1980","1840"
"2009","Newfoundland and Labrador","0.19","970","1040"
"2009","New-Brunswick","0.15","1130","1020"
"2009","Manitoba","0.15","1870","1860"
"2009","British-Columbia","0.16","7100","8020"
"2009","Alberta","0.17","6250","7030"
"2010","Yukon, Northwest Territories and Nunavut","0.01","10","0"
"2010","Saskatchewan","0.17","1760","1560"
"2010","Quebec","0.24","19050","16760"
"2010","Prince Edward Island","0.13","190","140"
"2010","Ontario","0.20","26720","23650"
"2010","Nova Scotia","0.20","1910","1980"
"2010","Newfoundland and Labrador","0.22","1130","970"
"2010","New-Brunswick","0.15","1130","1020"
"2010","Manitoba","0.19","2320","1870"
"2010","British-Columbia","0.17","7710","7100"
"2010","Alberta","0.19","6960","6250"
"2011","Yukon, Northwest Territories and Nunavut","0.02","20","10"
"2011","Saskatchewan","0.19","2040","1760"
"2011","Quebec","0.25","19770","19050"
"2011","Prince Edward Island","0.14","200","190"
"2011","Ontario","0.20","26150","26720"
"2011","Nova Scotia","0.20","1930","1910"
"2011","Newfoundland and Labrador","0.22","1180","1130"
"2011","New-Brunswick","0.16","1220","1130"
"2011","Manitoba","0.18","2180","2320"
"2011","British-Columbia","0.17","7750","7710"
"2011","Alberta","0.23","8850","6960"
"2012","Yukon, Northwest Territories and Nunavut","0.01","10","20"
"2012","Saskatchewan","0.19","2110","2040"
"2012","Quebec","0.25","20000","19770"
"2012","Prince Edward Island","0.13","190","200"
"2012","Ontario","0.21","27930","26150"
"2012","Nova Scotia","0.20","1930","1930"
"2012","Newfoundland and Labrador","0.23","1210","1180"
"2012","New-Brunswick","0.14","1090","1220"
"2012","Manitoba","0.17","2150","2180"
"2012","British-Columbia","0.19","8620","7750"
