"REF_DATE","GEO","PERCENTAGE","CURRENT_VALUE","PREVIOUS_VALUE"
"2000","Yukon, Northwest Territories and Nunavut","0.04","40",""
"2000","Saskatchewan","0.08","720",""
"2000","Quebec","0.04","3020",""
"2000","Prince Edward Island","0.10","140",""
"2000","Ontario","0.08","8740",""
"2000","Nova Scotia","0.07","680",""
"2000","Newfoundland and Labrador","0.04","220",""
"2000","New-Brunswick","0.04","330",""
"2000","Manitoba","0.053","610",""
"2000","British-Columbia","0.03","1100",""
"2000","Alberta","0.06","1630",""
"2001","Yukon, Northwest Territories and Nunavut","0.05","50","40"
"2001","Saskatchewan","0.07","680","720"
"2001","Quebec","0.04","3070","3020"
"2001","Prince Edward Island","0.10","130","140"
"2001","Ontario","0.064","8010","8740"
"2001","Nova Scotia","0.06","600","680"
"2001","Newfoundland and Labrador","0.04","220","220"
"2001","New-Brunswick","0.04","320","330"
"2001","Manitoba","0.055","570","610"
"2001","British-Columbia","0.03","920","1100"
"2001","Alberta","0.06","1710","1630"
"2002","Yukon, Northwest Territories and Nunavut","0.04","40","50"
"2002","Saskatchewan","0.06","590","680"
"2002","Quebec","0.04","3210","3070"
"2002","Prince Edward Island","0.04","60","130"
"2002","Ontario","0.075","8720","8010"
"2002","Nova Scotia","0.07","580","600"
"2002","Newfoundland and Labrador","0.04","210","220"
"2002","New-Brunswick","0.04","320","320"
"2002","Manitoba","0.055","610","570"
"2002","British-Columbia","0.03","880","920"
"2002","Alberta","0.04","1380","1710"
"2003","Yukon, Northwest Territories and Nunavut","0.06","60","40"
"2003","Saskatchewan","0.06","580","590"
"2003","Quebec","0.04","3210","3210"
"2003","Prince Edward Island","0.06","80","60"
"2003","Ontario","0.074","8520","8720"
"2003","Nova Scotia","0.06","510","580"
"2003","Newfoundland and Labrador","0.03","160","210"
"2003","New-Brunswick","0.04","290","320"
"2003","Manitoba","0.05","530","610"
"2003","British-Columbia","0.014","760","880"
"2003","Alberta","0.04","1300","1380"
"2004","Yukon, Northwest Territories and Nunavut","0.06","60","60"
"2004","Saskatchewan","0.06","560","580"
"2004","Quebec","0.04","2990","3210"
"2004","Prince Edward Island","0.05","70","80"
"2004","Ontario","0.073","8690","8520"
"2004","Nova Scotia","0.07","550","510"
"2004","Newfoundland and Labrador","0.03","140","160"
"2004","New-Brunswick","0.03","270","290"
"2004","Manitoba","0.05","540","530"
"2004","British-Columbia","0.014","780","760"
"2004","Alberta","0.04","1440","1300"
"2005","Yukon, Northwest Territories and Nunavut","0.08","80","60"
"2005","Saskatchewan","0.07","730","560"
"2005","Quebec","0.05","3880","2990"
"2005","Prince Edward Island","0.06","80","70"
"2005","Ontario","0.074","8860","8690"
"2005","Nova Scotia","0.06","600","550"
"2005","Newfoundland and Labrador","0.04","200","140"
"2005","New-Brunswick","0.03","320","270"
"2005","Manitoba","0.06","660","540"
"2005","British-Columbia","0.025","980","780"
