"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","531774","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","525299","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","521399","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","519223","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","518739","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","516794","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","512564","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","510335","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","511008","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","514223","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","520283","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","523726","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526215","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527248","","","","0"
"2000","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","136442","","","","0"
"2001","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","136377","","","","0"
"2002","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","136858","","","","0"
"2003","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137077","","","","0"
"2004","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137510","","","","0"
"2005","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137689","","","","0"
"2006","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137907","","","","0"
"2007","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","137778","","","","0"
"2008","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","138000","","","","0"
"2009","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","139136","","","","0"
"2010","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","140612","","","","0"
"2011","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143020","","","","0"
"2012","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144310","","","","0"
"2013","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144175","","","","0"
"2000","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","934594","","","","0"
"2001","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","933463","","","","0"
"2002","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","933773","","","","0"
"2003","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","935509","","","","0"
"2004","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938997","","","","0"
"2005","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","939215","","","","0"
"2006","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938117","","","","0"
"2007","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","936203","","","","0"
"2008","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","935475","","","","0"
"2009","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937382","","","","0"
"2010","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","940823","","","","0"
"2011","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","944068","","","","0"
"2012","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","944307","","","","0"
"2013","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","942598","","","","0"
"2000","New Brunswick","2016A000213","Persons","249","units","0","v10","5","750786","","","","0"
"2001","New Brunswick","2016A000213","Persons","249","units","0","v10","5","749715","","","","0"
