"REF_DATE","GEO","PERCENTAGE","CURRENT_VALUE","PREVIOUS_VALUE"
"2000","Yukon, Northwest Territories and Nunavut","0.01","10",""
"2000","Saskatchewan","0.06","580",""
"2000","Quebec","0.09","6450",""
"2000","Prince Edward Island","0.06","80",""
"2000","Ontario","0.08","9740",""
"2000","Nova Scotia","0.07","630",""
"2000","Newfoundland and Labrador","0.04","220",""
"2000","New-Brunswick","0.05","350",""
"2000","Manitoba","0.06","640",""
"2000","British-Columbia","0.04","1740",""
"2000","Alberta","0.05","1620",""
"2001","Yukon, Northwest Territories and Nunavut","0.01","10","10"
"2001","Saskatchewan","0.06","590","580"
"2001","Quebec","0.10","7470","6450"
"2001","Prince Edward Island","0.06","80","80"
"2001","Ontario","0.08","10140","9740"
"2001","Nova Scotia","0.07","650","630"
"2001","Newfoundland and Labrador","0.05","260","220"
"2001","New-Brunswick","0.05","360","350"
"2001","Manitoba","0.06","720","640"
"2001","British-Columbia","0.05","1860","1740"
"2001","Alberta","0.06","1980","1620"
"2002","Yukon, Northwest Territories and Nunavut","0.01","10","10"
"2002","Saskatchewan","0.05","530","590"
"2002","Quebec","0.10","7700","7470"
"2002","Prince Edward Island","0.04","60","80"
"2002","Ontario","0.09","10560","10140"
"2002","Nova Scotia","0.07","630","650"
"2002","Newfoundland and Labrador","0.05","260","260"
"2002","New-Brunswick","0.05","380","360"
"2002","Manitoba","0.06","700","720"
"2002","British-Columbia","0.05","1970","1860"
"2002","Alberta","0.06","1840","1980"
"2003","Yukon, Northwest Territories and Nunavut","0.01","10","10"
"2003","Saskatchewan","0.06","560","530"
"2003","Quebec","0.12","8640","7700"
"2003","Prince Edward Island","0.06","80","60"
"2003","Ontario","0.10","11850","10560"
"2003","Nova Scotia","0.06","610","630"
"2003","Newfoundland and Labrador","0.05","260","260"
"2003","New-Brunswick","0.05","400","380"
"2003","Manitoba","0.06","690","700"
"2003","British-Columbia","0.05","2060","1970"
"2003","Alberta","0.06","1940","1840"
"2004","Yukon, Northwest Territories and Nunavut","0.01","10","10"
"2004","Saskatchewan","0.06","560","560"
"2004","Quebec","0.12","8790","8640"
"2004","Prince Edward Island","0.05","70","80"
"2004","Ontario","0.10","12630","11850"
"2004","Nova Scotia","0.07","690","610"
"2004","Newfoundland and Labrador","0.05","270","260"
"2004","New-Brunswick","0.05","400","400"
"2004","Manitoba","0.06","740","690"
"2004","British-Columbia","0.05","2250","2060"
"2004","Alberta","0.06","2090","1940"
"2005","Yukon, Northwest Territories and Nunavut","0.01","10","10"
"2005","Saskatchewan","0.06","600","560"
"2005","Quebec","0.12","8860","8790"
"2005","Prince Edward Island","0.06","80","70"
"2005","Ontario","0.10","12900","12630"
"2005","Nova Scotia","0.07","660","690"
"2005","Newfoundland and Labrador","0.05","280","270"
"2005","New-Brunswick","0.04","380","400"
"2005","Manitoba","0.07","790","740"
"2005","British-Columbia","0.06","2380","2250"
"2005","Alberta","0.06","2110","2090"
"2006","Yukon, Northwest Territories and Nunavut","0.02","20","10"
"2006","Saskatchewan","0.06","630","600"
"2006","Quebec","0.12","9390","8860"
"2006","Prince Edward Island","0.07","90","80"
"2006","Ontario","0.11","14130","12900"
"2006","Nova Scotia","0.07","640","660"
"2006","Newfoundland and Labrador","0.07","340","280"
"2006","New-Brunswick","0.06","440","380"
"2006","Manitoba","0.07","790","790"
"2006","British-Columbia","0.06","2530","2380"
"2006","Alberta","0.06","2080","2110"
"2007","Yukon, Northwest Territories and Nunavut","0.02","20","20"
"2007","Saskatchewan","0.06","620","630"
"2007","Quebec","0.13","9890","9390"
"2007","Prince Edward Island","0.06","80","90"
"2007","Ontario","0.11","14280","14130"
"2007","Nova Scotia","0.07","650","640"
"2007","Newfoundland and Labrador","0.06","330","340"
"2007","New-Brunswick","0.06","460","440"
"2007","Manitoba","0.07","710","790"
"2007","British-Columbia","0.07","2810","2530"
"2007","Alberta","0.06","2180","2080"
"2008","Yukon, Northwest Territories and Nunavut","0.02","20","20"
"2008","Saskatchewan","0.05","630","620"
"2008","Quebec","0.14","10980","9890"
"2008","Prince Edward Island","0.07","100","80"
"2008","Ontario","0.11","14850","14280"
"2008","Nova Scotia","0.08","710","650"
"2008","Newfoundland and Labrador","0.06","290","330"
"2008","New-Brunswick","0.06","450","460"
"2008","Manitoba","0.07","820","710"
"2008","British-Columbia","0.06","2840","2810"
"2008","Alberta","0.07","2400","2180"
"2009","Yukon, Northwest Territories and Nunavut","0.01","10","20"
"2009","Saskatchewan","0.06","580","630"
"2009","Quebec","0.10","7500","10980"
"2009","Prince Edward Island","0.07","100","100"
"2009","Ontario","0.09","11460","14850"
"2009","Nova Scotia","0.07","640","710"
"2009","Newfoundland and Labrador","0.05","260","290"
"2009","New-Brunswick","0.06","440","450"
"2009","Manitoba","0.06","710","820"
"2009","British-Columbia","0.06","2530","2840"
"2009","Alberta","0.05","1910","2400"
"2010","Yukon, Northwest Territories and Nunavut","0.01","10","10"
"2010","Saskatchewan","0.06","630","580"
"2010","Quebec","0.08","6380","7500"
"2010","Prince Edward Island","0.06","80","100"
"2010","Ontario","0.07","9850","11460"
"2010","Nova Scotia","0.06","540","640"
"2010","Newfoundland and Labrador","0.05","250","260"
"2010","New-Brunswick","0.05","350","440"
"2010","Manitoba","0.06","770","710"
"2010","British-Columbia","0.04","1970","2530"
"2010","Alberta","0.04","1650","1910"
"2011","Yukon, Northwest Territories and Nunavut","0.01","10","10"
"2011","Saskatchewan","0.06","630","630"
"2011","Quebec","0.06","5050","6380"
"2011","Prince Edward Island","0.06","80","80"
"2011","Ontario","0.07","9760","9850"
"2011","Nova Scotia","0.06","520","540"
"2011","Newfoundland and Labrador","0.05","260","250"
"2011","New-Brunswick","0.04","340","350"
"2011","Manitoba","0.06","770","770"
"2011","British-Columbia","0.04","1950","1970"
"2011","Alberta","0.05","1740","1650"
"2012","Yukon, Northwest Territories and Nunavut","0.01","10","10"
"2012","Saskatchewan","0.06","650","630"
"2012","Quebec","0.08","6220","5050"
"2012","Prince Edward Island","0.06","80","80"
"2012","Ontario","0.07","9630","9760"
"2012","Nova Scotia","0.05","460","520"
"2012","Newfoundland and Labrador","0.04","220","260"
"2012","New-Brunswick","0.04","340","340"
"2012","Manitoba","0.06","730","770"
"2012","British-Columbia","0.04","1810","1950"
"2012","Alberta","0.04","1670","1740"
"2013","Yukon, Northwest Territories and Nunavut","0.01","10","10"
"2013","Saskatchewan","0.07","760","650"
"2013","Quebec","0.08","6230","6220"
"2013","Prince Edward Island","0.06","80","80"
"2013","Ontario","0.06","8610","9630"
"2013","Nova Scotia","0.05","440","460"
"2013","Newfoundland and Labrador","0.04","230","220"
"2013","New-Brunswick","0.05","310","340"
"2013","Manitoba","0.05","690","730"
"2013","British-Columbia","0.04","1870","1810"
"2013","Alberta","0.05","1880","1670"
