"REF_DATE","GEO","PERCENTAGE","CURRENT_VALUE","PREVIOUS_VALUE"
"2000","Yukon, Northwest Territories and Nunavut","0.02","20",""
"2000","Saskatchewan","0.15","1500",""
"2000","Quebec","0.44","32150",""
"2000","Prince Edward Island","0.12","160",""
"2000","Ontario","0.44","77580",""
"2000","Nova Scotia","0.20","1860",""
"2000","Newfoundland and Labrador","0.13","690",""
"2000","New-Brunswick","0.12","920",""
"2000","Manitoba","0.18","2030",""
"2000","British-Columbia","0.25","9960",""
"2000","Alberta","0.23","6930",""
"2001","Yukon, Northwest Territories and Nunavut","0.02","20","20"
"2001","Saskatchewan","0.16","1560","1500"
"2001","Quebec","0.45","33180","32150"
"2001","Prince Edward Island","0.10","140","160"
"2001","Ontario","0.47","56010","77580"
"2001","Nova Scotia","0.19","1800","1860"
"2001","Newfoundland and Labrador","0.15","760","690"
"2001","New-Brunswick","0.13","960","920"
"2001","Manitoba","0.17","1960","2030"
"2001","British-Columbia","0.26","10720","9960"
"2001","Alberta","0.24","7400","6930"
"2002","Yukon, Northwest Territories and Nunavut","0.02","20","20"
"2002","Saskatchewan","0.15","1540","1560"
"2002","Quebec","0.46","34630","33180"
"2002","Prince Edward Island","0.09","130","140"
"2002","Ontario","0.46","55940","56010"
"2002","Nova Scotia","0.20","1880","1800"
"2002","Newfoundland and Labrador","0.15","770","760"
"2002","New-Brunswick","0.13","980","960"
"2002","Manitoba","0.18","2080",1960"
"2002","British-Columbia","0.25","10170","10720"
"2002","Alberta","0.25","7830","7400"
"2003","Yukon, Northwest Territories and Nunavut","0.04","40","20"
"2003","Saskatchewan","0.18","1750","1540"
"2003","Quebec","0.48","36270","34630"
"2003","Prince Edward Island","0.12","160","130"
"2003","Ontario","0.47","58170","55940"
"2003","Nova Scotia","0.21","2010","1880"
"2003","Newfoundland and Labrador","0.17","870","770"
"2003","New-Brunswick","0.15","1150","980"
"2003","Manitoba","0.19","2190","2080"
"2003","British-Columbia","0.29","12010","10170"
"2003","Alberta","0.27","8600","7830"
