"REF_DATE","GEO","PERCENTAGE","CURRENT_VALUE","PREVIOUS_VALUE"
"2000","Yukon, Northwest Territories and Nunavut","0.02","20",""
"2000","Saskatchewan","0.08","850",""
"2000","Quebec","0.17","12390",""
"2000","Prince Edward Island","0.04","110",""
"2000","Ontario","0.14","16150",""
"2000","Nova Scotia","0.09","830",""
"2000","Newfoundland and Labrador","0.06","320",""
"2000","New-Brunswick","0.06","480",""
"2000","Manitoba","0.10","1090",""
"2000","British-Columbia","0.08","3200",""
"2000","Alberta","0.08","2530",""
"2001","Yukon, Northwest Territories and Nunavut","0.02","20","20"
"2001","Saskatchewan","0.08","830","850"
"2001","Quebec","0.19","13830","12390"
"2001","Prince Edward Island","0.08","110","110"
"2001","Ontario","0.14","16820","16150"
"2001","Nova Scotia","0.08","790","830"
"2001","Newfoundland and Labrador","0.06","320","320"
"2001","New-Brunswick","0.06","470","480"
"2001","Manitoba","0.11","1210","1090"
"2001","British-Columbia","0.08","3320","3200"
"2001","Alberta","0.09","2800","2530"
"2002","Yukon, Northwest Territories and Nunavut","0.02","20","20"
"2002","Saskatchewan","0.08","810","830"
"2002","Quebec","0.20","14620","13830"
"2002","Prince Edward Island","0.06","80","110"
"2002","Ontario","0.15","18120","16820"
"2002","Nova Scotia","0.09","800","790"
"2002","Newfoundland and Labrador","0.06","310","320"
"2002","New-Brunswick","0.07","510","470"
"2002","Manitoba","0.09","1080","1210"
"2002","British-Columbia","0.09","3610","3320"
"2002","Alberta","0.09","2690","2800"
"2003","Yukon, Northwest Territories and Nunavut","0.02","20","20"
"2003","Saskatchewan","0.09","860","810"
"2003","Quebec","0.21","15740","14620"
"2003","Prince Edward Island","0.07","100",80"
"2003","Ontario","0.16","19950","18120"
"2003","Nova Scotia","0.08","790","800"
"2003","Newfoundland and Labrador","0.07","340","310"
"2003","New-Brunswick","0.07","520","510"
"2003","Manitoba","0.09","1030","1080"
"2003","British-Columbia","0.09","3880","3610"
"2003","Alberta","0.09","2800","2690"
"2004","Yukon, Northwest Territories and Nunavut","0.04","40","20"
"2004","Saskatchewan","0.10","950","860"
"2004","Quebec","0.23","17300","15740"
"2004","Prince Edward Island","0.07","100","100"
"2004","Ontario","0.18","22320","19950"
